,id,date,buildUpPlaySpeed,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassing,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassing,chanceCreationPassingClass,chanceCreationCrossing,chanceCreationCrossingClass,chanceCreationShooting,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressure,defencePressureClass,defenceAggression,defenceAggressionClass,defenceTeamWidth,defenceTeamWidthClass,defenceDefenderLineClass,team,season,home_team_win,away_team_win,home_team_draw,away_team_draw,total_win,total_draw,overall_win_perc
0,71,2010-02-22 00:00:00,66,Balanced,Little,30,Short,Free Form,30,Safe,45,Normal,35,Normal,Free Form,30,Deep,40,Press,50,Normal,Cover,Arsenal,2009/2010,15,8,2,4,23,6,0.4934210526315789
1,72,2011-02-22 00:00:00,75,Fast,Little,40,Mixed,Free Form,40,Normal,45,Normal,65,Normal,Free Form,50,Medium,40,Press,45,Normal,Cover,Arsenal,2010/2011,11,8,4,7,19,11,0.4473684210526316
2,73,2012-02-22 00:00:00,25,Slow,Little,32,Short,Organised,41,Normal,34,Normal,30,Little,Free Form,57,Medium,57,Press,52,Normal,Cover,Arsenal,2011/2012,12,9,4,3,21,7,0.4605263157894737
3,74,2013-09-20 00:00:00,30,Slow,Little,29,Short,Organised,41,Normal,55,Normal,39,Normal,Free Form,64,Medium,54,Press,52,Normal,Cover,Arsenal,2012/2013,11,10,5,5,21,10,0.48026315789473684
4,75,2014-09-19 00:00:00,59,Balanced,Normal,26,Short,Organised,28,Safe,55,Normal,64,Normal,Free Form,51,Medium,44,Press,52,Normal,Cover,Arsenal,2013/2014,13,11,5,2,24,7,0.5197368421052632
5,76,2015-09-10 00:00:00,59,Balanced,Normal,30,Short,Organised,28,Safe,44,Normal,46,Normal,Free Form,51,Medium,44,Press,52,Normal,Cover,Arsenal,2014/2015,12,10,5,4,22,9,0.4934210526315789
6,77,2010-02-22 00:00:00,70,Fast,Little,59,Mixed,Organised,65,Normal,70,Lots,50,Normal,Free Form,30,Deep,70,Double,30,Narrow,Cover,Aston Villa,2009/2010,8,9,8,5,17,13,0.42105263157894735
7,78,2011-02-22 00:00:00,65,Balanced,Little,50,Mixed,Organised,45,Normal,55,Normal,50,Normal,Organised,35,Medium,45,Press,65,Normal,Cover,Aston Villa,2010/2011,8,4,7,5,12,12,0.3157894736842105
8,79,2012-02-22 00:00:00,67,Fast,Little,58,Mixed,Organised,44,Normal,60,Normal,56,Normal,Organised,43,Medium,50,Press,52,Normal,Cover,Aston Villa,2011/2012,4,3,7,10,7,17,0.25
9,80,2013-09-20 00:00:00,63,Balanced,Little,59,Mixed,Organised,52,Normal,55,Normal,34,Normal,Organised,39,Medium,41,Press,54,Normal,Cover,Aston Villa,2012/2013,5,5,5,6,10,11,0.26973684210526316
10,81,2014-09-19 00:00:00,66,Balanced,Little,72,Long,Organised,63,Normal,48,Normal,56,Normal,Organised,39,Medium,42,Press,52,Normal,Cover,Aston Villa,2013/2014,6,4,3,5,10,8,0.25
11,82,2015-09-10 00:00:00,63,Balanced,Normal,54,Mixed,Organised,60,Normal,48,Normal,38,Normal,Organised,35,Medium,44,Press,54,Normal,Cover,Aston Villa,2014/2015,5,5,6,2,10,8,0.25
24,307,2010-02-22 00:00:00,70,Fast,Little,60,Mixed,Free Form,56,Normal,70,Lots,70,Lots,Free Form,30,Deep,60,Press,35,Normal,Cover,Chelsea,2009/2010,17,10,1,4,27,5,0.5657894736842105
25,308,2011-02-22 00:00:00,60,Balanced,Little,50,Mixed,Free Form,60,Normal,60,Normal,80,Lots,Free Form,35,Medium,55,Press,50,Normal,Cover,Chelsea,2010/2011,14,7,3,5,21,8,0.46710526315789475
26,309,2012-02-22 00:00:00,60,Balanced,Little,45,Mixed,Organised,55,Normal,45,Normal,45,Normal,Organised,60,Medium,62,Press,46,Normal,Cover,Chelsea,2011/2012,12,6,3,7,18,10,0.42105263157894735
27,310,2013-09-20 00:00:00,46,Balanced,Little,41,Mixed,Organised,46,Normal,61,Normal,63,Normal,Organised,42,Medium,43,Press,46,Normal,Cover,Chelsea,2012/2013,12,10,5,4,22,9,0.4934210526315789
28,311,2014-09-19 00:00:00,67,Fast,Normal,38,Mixed,Organised,41,Normal,61,Normal,68,Lots,Organised,39,Medium,41,Press,46,Normal,Cover,Chelsea,2013/2014,15,10,3,4,25,7,0.5394736842105263
29,312,2015-09-10 00:00:00,67,Fast,Normal,36,Mixed,Organised,41,Normal,34,Normal,44,Normal,Organised,39,Medium,41,Press,46,Normal,Cover,Chelsea,2014/2015,15,11,4,5,26,9,0.5723684210526315
32,405,2010-02-22 00:00:00,60,Balanced,Little,65,Mixed,Organised,60,Normal,70,Lots,45,Normal,Organised,40,Medium,70,Double,40,Normal,Cover,Everton,2009/2010,11,5,6,7,16,13,0.40131578947368424
33,406,2011-02-22 00:00:00,60,Balanced,Little,50,Mixed,Organised,55,Normal,70,Lots,55,Normal,Organised,55,Medium,65,Press,60,Normal,Cover,Everton,2010/2011,9,4,7,8,13,15,0.35526315789473684
34,407,2012-02-22 00:00:00,56,Balanced,Little,56,Mixed,Organised,48,Normal,57,Normal,56,Normal,Organised,50,Medium,50,Press,60,Normal,Cover,Everton,2011/2012,10,5,3,8,15,11,0.3684210526315789
35,408,2013-09-20 00:00:00,58,Balanced,Little,62,Mixed,Organised,48,Normal,59,Normal,32,Little,Organised,41,Medium,44,Press,59,Normal,Cover,Everton,2012/2013,12,4,6,9,16,15,0.4144736842105263
36,409,2014-09-19 00:00:00,61,Balanced,Normal,42,Mixed,Organised,39,Normal,59,Normal,48,Normal,Organised,52,Medium,58,Press,60,Normal,Cover,Everton,2013/2014,13,8,3,6,21,9,0.47368421052631576
37,410,2015-09-10 00:00:00,43,Balanced,Normal,40,Mixed,Organised,39,Normal,33,Little,63,Normal,Organised,52,Medium,58,Press,59,Normal,Cover,Everton,2014/2015,7,5,7,4,12,11,0.3092105263157895
38,479,2010-02-22 00:00:00,60,Balanced,Little,70,Long,Organised,70,Risky,70,Lots,50,Normal,Organised,40,Medium,35,Press,40,Normal,Cover,Fulham,2009/2010,11,1,3,7,12,10,0.3026315789473684
39,480,2011-02-22 00:00:00,50,Balanced,Little,55,Mixed,Organised,45,Normal,55,Normal,40,Normal,Organised,45,Medium,35,Press,50,Normal,Cover,Fulham,2010/2011,8,3,7,9,11,16,0.3223684210526316
40,481,2012-02-22 00:00:00,48,Balanced,Little,45,Mixed,Organised,38,Normal,62,Normal,54,Normal,Organised,38,Medium,38,Press,62,Normal,Cover,Fulham,2011/2012,10,4,5,5,14,10,0.34210526315789475
41,482,2013-09-20 00:00:00,52,Balanced,Little,49,Mixed,Organised,49,Normal,56,Normal,59,Normal,Organised,39,Medium,39,Press,57,Normal,Cover,Fulham,2012/2013,7,4,3,7,11,10,0.28289473684210525
42,483,2014-09-19 00:00:00,52,Balanced,Normal,56,Mixed,Organised,58,Normal,41,Normal,54,Normal,Organised,29,Deep,28,Contain,39,Normal,Cover,Fulham,2013/2014,5,4,3,2,9,5,0.21052631578947367
46,743,2010-02-22 00:00:00,50,Balanced,Little,35,Mixed,Organised,50,Normal,60,Normal,70,Lots,Organised,40,Medium,60,Press,40,Normal,Cover,Liverpool,2009/2010,13,5,3,6,18,9,0.4144736842105263
