,id,date,buildUpPlaySpeed,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassing,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassing,chanceCreationPassingClass,chanceCreationCrossing,chanceCreationCrossingClass,chanceCreationShooting,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressure,defencePressureClass,defenceAggression,defenceAggressionClass,defenceTeamWidth,defenceTeamWidthClass,defenceDefenderLineClass,team,season,home_team_win,away_team_win,home_team_draw,away_team_draw,total_win,total_draw,overall_win_perc
0,76,2015-09-10 00:00:00,59,Fast,Normal,30,Short,Free Form,28,Normal,44,Lots,46,Normal,Free Form,51,Medium,44,Press,52,Normal,Cover,Leicester City,2015/2016,12,11,6,6,23,12,0.5328947368421053
1,82,2015-09-10 00:00:00,63,Fast,Normal,54,Short,Organised,60,Risky,48,Lots,38,Normal,Free Form,35,Medium,44,Press,54,Normal,Cover,Arsenal,2015/2016,12,8,4,7,20,11,0.46710526315789475
2,254,2015-09-10 00:00:00,54,Fast,Normal,67,Mixed,Organised,72,Normal,57,Lots,47,Normal,Free Form,63,Medium,62,Press,58,Normal,Cover,Tottenham Hotspur,2015/2016,10,9,6,7,19,13,0.4605263157894737
3,312,2015-09-10 00:00:00,67,Fast,Normal,36,Mixed,Organised,41,Normal,34,Normal,44,Normal,Free Form,39,Medium,41,Press,46,Normal,Cover,Manchester City,2015/2016,12,7,2,7,19,9,0.4342105263157895
4,341,2015-09-10 00:00:00,61,Fast,Normal,67,Mixed,Organised,67,Risky,69,Little,50,Little,Organised,36,Deep,34,Press,41,Normal,Cover,Manchester United,2015/2016,12,7,5,4,19,9,0.4342105263157895
5,410,2015-09-10 00:00:00,43,Balanced,Normal,40,Mixed,Organised,39,Risky,33,Normal,63,Little,Organised,52,Medium,58,Press,59,Normal,Cover,Southampton,2015/2016,11,7,3,6,18,9,0.4144736842105263
6,602,2015-09-10 00:00:00,56,Balanced,Normal,55,Mixed,Organised,54,Normal,49,Normal,56,Normal,Organised,38,Medium,37,Press,46,Normal,Cover,West Ham United,2015/2016,9,7,7,7,16,14,0.40789473684210525
7,718,2015-09-10 00:00:00,63,Balanced,Normal,60,Mixed,Organised,47,Normal,64,Normal,46,Normal,Organised,58,Medium,65,Press,55,Normal,Cover,Liverpool,2015/2016,8,8,8,4,16,12,0.39473684210526316
8,748,2015-09-10 00:00:00,66,Balanced,Little,45,Mixed,Organised,34,Normal,34,Normal,46,Normal,Organised,51,Medium,52,Press,61,Normal,Cover,Stoke City,2015/2016,8,6,4,5,14,9,0.3355263157894737
9,806,2015-09-10 00:00:00,59,Balanced,Normal,29,Long,Organised,38,Normal,36,Normal,24,Normal,Organised,48,Medium,47,Press,54,Normal,Cover,Chelsea,2015/2016,5,7,9,5,12,14,0.32894736842105265
10,812,2015-09-10 00:00:00,38,Balanced,Little,44,Mixed,Organised,49,Normal,44,Normal,40,Normal,Organised,54,Medium,53,Press,56,Normal,Cover,Everton,2015/2016,6,5,5,9,11,14,0.3092105263157895
11,898,2015-09-10 00:00:00,58,Balanced,Little,49,Long,Organised,47,Normal,54,Normal,46,Normal,Organised,41,Medium,39,Press,51,Normal,Cover,Swansea City,2015/2016,8,4,6,5,12,11,0.3092105263157895
12,1019,2015-09-10 00:00:00,30,Balanced,Little,61,Mixed,Organised,53,Normal,53,Normal,60,Normal,Organised,50,Medium,44,Press,54,Normal,Cover,Watford,2015/2016,6,6,6,3,12,9,0.29605263157894735
13,1186,2015-09-10 00:00:00,52,Slow,Normal,46,Mixed,Organised,42,Normal,54,Normal,30,Normal,Organised,50,Medium,65,Press,44,Normal,Cover,West Bromwich Albion,2015/2016,6,4,5,8,10,13,0.28289473684210525
14,1248,2015-09-10 00:00:00,48,Slow,Normal,49,Mixed,Organised,51,Normal,59,Normal,49,Normal,Organised,44,Medium,37,Press,51,Normal,Cover,Crystal Palace,2015/2016,6,5,3,6,11,9,0.27631578947368424
15,1254,2015-09-10 00:00:00,43,Slow,Normal,51,Mixed,Organised,59,Normal,50,Normal,55,Normal,Organised,47,Medium,45,Press,49,Normal,Cover,Bournemouth,2015/2016,5,6,5,4,11,9,0.27631578947368424
16,1260,2015-09-10 00:00:00,45,Slow,Normal,42,Mixed,Organised,34,Normal,36,Normal,55,Normal,Organised,31,Deep,47,Press,42,Normal,Cover,Sunderland,2015/2016,6,3,6,6,9,12,0.2565789473684211
17,1281,2015-09-10 00:00:00,47,Slow,Normal,40,Mixed,Organised,41,Normal,41,Normal,63,Normal,Organised,63,Deep,54,Press,56,Normal,Cover,Newcastle United,2015/2016,7,2,7,3,9,10,0.24342105263157895
18,1384,2015-09-10 00:00:00,62,Slow,Normal,51,Mixed,Organised,53,Normal,50,Little,60,Little,Organised,41,Deep,40,Press,49,Normal,Cover,Norwich City,2015/2016,6,3,5,2,9,7,0.2236842105263158
19,1390,2015-09-10 00:00:00,77,Slow,Little,57,Long,Organised,68,Normal,73,Little,29,Little,Organised,30,Deep,37,Press,41,Normal,Cover,Aston Villa,2015/2016,2,1,5,3,3,8,0.1118421052631579
